SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1953,UDA Prague,,,,,,,,,,,,,,,,,,,,
1954,UDA Prague,,,,,,,,,,,,,,,,,,,,
1955,UDA Prague,,,,,,,,,,,,,,,,,,,,
1956,Dukla Prague,,,,,,,,,,,,,,,,,,,,
1957/1958,Dukla Prague,,,,,2,,,,,,,,5,,,,7,,,
1958/1959,Dukla Prague,,,,,4,1,,360,,,,,5,2,,225,9,3,,270
1959/1960,Dukla Prague,,,,,,,,,,,,,7,2,,270,7,2,,270
1960/1961,Dukla Prague,,,,,,,,,,,,,4,,,,4,,,
1961/1962,Dukla Prague,,,,,6,,,,,,,,11,2,,510,17,2,,780
1962/1963,Dukla Prague,,,,,6,1,,540,,,,,4,2,,135,10,3,,270
1963/1964,Dukla Prague,,,,,6,1,,540,,,,,3,,,,9,1,,797
1964/1965,Dukla Prague,,,,,5,1,,480,,,,,3,,,,8,1,,750
1965/1966,Dukla Prague,,,,,2,,,,,,,,1,,,,3,,,
1966/1967,Dukla Prague,,,,,8,1,,720,,,,,,,,,8,1,,720
1967/1968,Dukla Prague,,,,,,,,,,,,,,,,,,,,
1968/1969,Crossing,,,,,,,,,,,,,,,,,,,,
1969/1970,Crossing,,,,,,,,,,,,,,,,,,,,
